Fighter1,Fighter2,Winner?,Fight Method,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Event Name,Location,Date,Rounds,Total Strike Landed F1R1,Total Strike Missed F1R1,Non-Sig. Strike Landed F1R1,Non-Sig. Strike Missed F1R1,Sig. Strike Landed F1R1,Sig. Strike Missed F1R1,Head F1R1,Body F1R1,Leg F1R1,Distance F1R1,Clinch F1R1,Ground F1R1,Knockdowns F1R1,TD Completed F1R1,TD Missed F1R1,Sub. Att F1R1,Rev. F1R1,Ctrl Time (Minutes) F1R1,Winner?,Total Strike Landed F2R1,Total Strike Missed F2R1,Non-Sig. Strike Landed F2R1,Non-Sig. Strike Missed F2R1,Sig. Strike Landed F2R1,Sig. Strike Missed F2R1,Head F2R1,Body F2R1,Leg F2R1,Distance F2R1,Clinch F2R1,Ground F2R1,Knockdowns F2R1,TD Completed F2R1,TD Missed F2R1,Sub. Att F2R1,Rev. F2R1,Ctrl Time (Minutes) F2R1,Total Strike Landed F1R2,Total Strike Missed F1R2,Non-Sig. Strike Landed F1R2,Non-Sig. Strike Missed F1R2,Sig. Strike Landed F1R2,Sig. Strike Missed F1R2,Head F1R2,Body F1R2,Leg F1R2,Distance F1R2,Clinch F1R2,Ground F1R2,Knockdowns F1R2,TD Completed F1R2,TD Missed F1R2,Sub. Att F1R2,Rev. F1R2,Ctrl Time (Minutes) F1R2,Total Strike Landed F2R2,Total Strike Missed F2R2,Non-Sig. Strike Landed F2R2,Non-Sig. Strike Missed F2R2,Sig. Strike Landed F2R2,Sig. Strike Missed F2R2,Head F2R2,Body F2R2,Leg F2R2,Distance F2R2,Clinch F2R2,Ground F2R2,Knockdowns F2R2,TD Completed F2R2,TD Missed F2R2,Sub. Att F2R2,Rev. F2R2,Ctrl Time (Minutes) F2R2,Total Strike Landed F1R3,Total Strike Missed F1R3,Non-Sig. Strike Landed F1R3,Non-Sig. Strike Missed F1R3,Sig. Strike Landed F1R3,Sig. Strike Missed F1R3,Head F1R3,Body F1R3,Leg F1R3,Distance F1R3,Clinch F1R3,Ground F1R3,Knockdowns F1R3,TD Completed F1R3,TD Missed F1R3,Sub. Att F1R3,Rev. F1R3,Ctrl Time (Minutes) F1R3,Total Strike Landed F2R3,Total Strike Missed F2R3,Non-Sig. Strike Landed F2R3,Non-Sig. Strike Missed F2R3,Sig. Strike Landed F2R3,Sig. Strike Missed F2R3,Head F2R3,Body F2R3,Leg F2R3,Distance F2R3,Clinch F2R3,Ground F2R3,Knockdowns F2R3,TD Completed F2R3,TD Missed F2R3,Sub. Att F2R3,Rev. F2R3,Ctrl Time (Minutes) F2R3,Total Strike Landed F1R4,Total Strike Missed F1R4,Non-Sig. Strike Landed F1R4,Non-Sig. Strike Missed F1R4,Sig. Strike Landed F1R4,Sig. Strike Missed F1R4,Head F1R4,Body F1R4,Leg F1R4,Distance F1R4,Clinch F1R4,Ground F1R4,Knockdowns F1R4,TD Completed F1R4,TD Missed F1R4,Sub. Att F1R4,Rev. F1R4,Ctrl Time (Minutes) F1R4,Total Strike Landed F2R4,Total Strike Missed F2R4,Non-Sig. Strike Landed F2R4,Non-Sig. Strike Missed F2R4,Sig. Strike Landed F2R4,Sig. Strike Missed F2R4,Head F2R4,Body F2R4,Leg F2R4,Distance F2R4,Clinch F2R4,Ground F2R4,Knockdowns F2R4,TD Completed F2R4,TD Missed F2R4,Sub. Att F2R4,Rev. F2R4,Ctrl Time (Minutes) F2R4,Total Strike Landed F1R5,Total Strike Missed F1R5,Non-Sig. Strike Landed F1R5,Non-Sig. Strike Missed F1R5,Sig. Strike Landed F1R5,Sig. Strike Missed F1R5,Head F1R5,Body F1R5,Leg F1R5,Distance F1R5,Clinch F1R5,Ground F1R5,Knockdowns F1R5,TD Completed F1R5,TD Missed F1R5,Sub. Att F1R5,Rev. F1R5,Ctrl Time (Minutes) F1R5,Total Strike Landed F2R5,Total Strike Missed F2R5,Non-Sig. Strike Landed F2R5,Non-Sig. Strike Missed F2R5,Sig. Strike Landed F2R5,Sig. Strike Missed F2R5,Head F2R5,Body F2R5,Leg F2R5,Distance F2R5,Clinch F2R5,Ground F2R5,Knockdowns F2R5,TD Completed F2R5,TD Missed F2R5,Sub. Att F2R5,Rev. F2R5,Ctrl Time (Minutes) F2R5
Brandon Moreno,Amir Albazi,1,Decision - Unanimous,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Eric Colon 46 - 49. Sal D'amato 45 - 50. Derek Cleary 45 - 50.,Flyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,5,18,18,0,0,18,18,16,0,2,18,0,0,0,0,0,0,0,0,1,16,23,0,0,16,23,12,1,3,16,0,0,0,0,0,0,0,0,29,38,0,0,29,38,25,2,2,29,0,0,0,0,0,0,0,0,6,27,0,0,6,27,4,1,1,6,0,0,0,1,0,0,0,0.033333333,31,37,0,0,31,37,23,5,3,28,3,0,0,0,0,0,0,0,12,31,0,0,12,31,9,1,2,12,0,0,0,0,1,0,0,0,22,48,0,0,22,48,19,3,0,22,0,0,0,0,0,0,0,0,32,44,0,0,32,44,30,2,0,31,1,0,0,0,1,0,0,0,32,44,0,0,32,44,30,2,0,31,1,0,0,0,1,0,0,0,9,46,0,1,9,45,9,0,0,9,0,0,0,0,2,0,0,0.116666667
Erin Blanchfield,Rose Namajunas,1,Decision - Unanimous,5:00,5 Rnd (5-5-5-5-5),Blake Grice,Junichiro Kamijo 47 - 48. Mike Bell 47 - 48. Derek Cleary 47 - 48.,Women's Flyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,5,19,49,0,0,19,49,11,3,5,19,0,0,0,0,0,0,0,0,1,30,31,0,0,30,31,22,2,6,30,0,0,0,0,0,0,0,0,28,42,3,0,25,42,21,2,2,25,0,0,0,0,2,0,0,0.25,26,43,3,1,23,42,17,5,1,22,1,0,0,1,0,0,0,0.133333333,48,34,37,17,11,17,7,2,2,10,0,1,0,1,1,0,0,3.633333333,10,12,1,0,9,12,7,2,0,7,2,0,0,0,1,0,0,0,43,54,3,1,40,53,29,6,5,40,0,0,0,0,1,0,0,0.883333333,55,15,40,5,15,10,13,2,0,9,2,4,0,1,2,0,0,4.133333333,55,15,40,5,15,10,13,2,0,9,2,4,0,1,2,0,0,4.133333333,10,12,3,0,7,12,6,1,0,7,0,0,0,0,2,0,0,0
Caio Machado,Brendson Ribeiro,0,Decision - Split,5:00,3 Rnd (5-5-5),Jerin Valel,Sal D'amato 28 - 29. Thomas Collins 29 - 28. Mike Bell 28 - 29.,Light Heavyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,22,21,0,0,22,21,3,7,12,22,0,0,0,0,0,0,0,0,0,16,18,0,0,16,18,6,5,5,16,0,0,0,0,0,0,0,0,22,36,0,0,22,36,6,11,5,22,0,0,0,0,0,0,0,0,12,24,0,0,12,24,5,4,3,12,0,0,0,0,0,0,0,0,35,51,3,0,32,51,15,15,2,32,0,0,0,0,0,0,0,0.033333333,21,40,0,0,21,40,14,7,0,21,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariane da Silva,Jasmine Jasudavicius,0,Submission,2:28,3 Rnd (5-5-5),Luke Boutin,D'Arce Choke On Ground,Women's Flyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,27,30,0,0,27,30,17,10,0,27,0,0,0,0,0,0,0,0,0,20,40,7,7,13,33,10,2,1,13,0,0,0,1,0,0,0,0.533333333,10,11,1,0,9,11,4,4,1,9,0,0,0,0,0,0,0,0,83,37,66,26,17,11,15,1,1,7,0,10,0,1,0,0,0,3.7,6,9,0,0,6,9,5,1,0,5,1,0,0,0,0,0,0,0,27,11,21,7,6,4,4,2,0,4,1,1,0,1,2,1,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc-Andre Barriault,Dustin Stoltzfus,0,KO/TKO,4:28,3 Rnd (5-5-5),Marc Goddard,Punch to Head In Clinch,Middleweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,1,13,4,6,0,7,4,6,1,0,0,7,0,0,0,0,0,0,0.016666667,0,23,9,10,2,13,7,11,1,1,2,7,4,1,0,0,1,0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Malott,Trevin Giles,1,Decision - Unanimous,5:00,3 Rnd (5-5-5),Andy Social,Eric Colon 27 - 30. Thomas Collins 28 - 29. Mike Bell 28 - 29.,Welterweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,12,25,0,0,12,25,2,4,6,12,0,0,0,0,0,0,0,0,1,9,7,0,0,9,7,4,0,5,9,0,0,0,0,0,0,0,0,28,26,0,0,28,26,13,8,7,28,0,0,0,0,1,0,0,0,17,15,0,0,17,15,13,2,2,17,0,0,0,0,0,0,0,0,19,20,0,0,19,20,7,7,5,19,0,0,0,0,0,0,0,0,8,22,0,0,8,22,6,1,1,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiemann Zahabi,Pedro Munhoz,1,Decision - Unanimous,5:00,3 Rnd (5-5-5),Jerin Valel,Sal D'amato 27 - 30. Eric Colon 28 - 29. Mike Bell 28 - 29.,Bantamweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,30,21,0,0,30,21,24,6,0,30,0,0,0,0,1,0,0,0,1,26,46,0,0,26,46,23,2,1,25,1,0,0,0,0,0,0,0,42,50,1,1,41,49,37,4,0,41,0,0,0,0,0,0,0,0,22,87,0,0,22,87,16,3,3,22,0,0,0,0,3,0,0,0.033333333,38,27,0,0,38,27,37,1,0,38,0,0,0,0,0,0,0,0,47,99,0,0,47,99,43,2,2,47,0,0,0,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Jourdain,Victor Henry,1,Submission,3:43,3 Rnd (5-5-5),Blake Grice,Guillotine Choke Standing,Bantamweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,2,38,21,10,3,28,18,12,13,3,21,7,0,0,0,2,0,0,0.283333333,1,28,17,10,1,18,16,5,8,5,16,1,1,0,2,2,0,0,1.3,12,16,1,0,11,16,7,1,3,10,1,0,0,0,0,1,0,0,11,19,5,5,6,14,3,3,0,6,0,0,0,2,0,0,0,2.516666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Shore,Youssef Zalal,0,Submission,0:59,3 Rnd (5-5-5),Luke Boutin,Arm Triangle From Half Guard,Featherweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,2,9,9,2,1,7,8,7,0,0,6,0,1,0,2,2,0,0,1.816666667,0,13,10,6,0,7,10,3,1,3,7,0,0,0,1,1,0,0,1.65,1,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,8,6,2,2,6,4,6,0,0,4,0,2,1,0,0,1,0,0.466666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandr Romanov,Rodrigo Nascimento,1,Decision - Unanimous,5:00,3 Rnd (5-5-5),Marc Goddard,Jason Tatlow 27 - 30. Thomas Collins 27 - 30. Sal D'amato 27 - 30.,Heavyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,32,4,30,1,2,3,2,0,0,0,0,2,0,4,1,1,0,4.783333333,1,4,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,26,45,,0,17,11,14,2,1,15,2,0,0,2,2,0,0,2.766666667,24,24,14,0,10,24,7,3,0,9,1,0,0,0,0,0,0,0,29,33,3,0,26,33,21,1,4,24,2,0,0,0,1,0,0,0,20,36,0,0,20,36,12,3,5,20,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
